iter,accuracy
1,81.85
2,87.17
3,90.25999999999999
4,91.53999999999999
5,92.64
6,93.44
7,94.02000000000001
8,94.22
9,94.78999999999999
10,94.84
11,94.93
12,94.88
13,94.99
14,95.1
15,95.27
16,95.23
17,95.39
18,95.56
19,95.62
20,95.71
21,95.75
22,95.67
23,95.82000000000001
24,95.78999999999999
25,95.74000000000001
26,95.78
27,95.67
28,95.82000000000001
29,95.83
30,95.74000000000001
31,95.73
32,95.64
33,95.77
34,95.76
35,95.78
36,95.71
37,95.76
38,95.72
39,95.6
40,95.69
41,95.6
42,95.6
43,95.53
44,95.39999999999999
45,95.38
46,95.19999999999999
47,95.09
48,95.02000000000001
49,95.02000000000001
50,95.17
