epoch,MomentumOptimizer
1,180645000
2,3460000
3,3579000
4,3327000
5,3572000
6,3130000
7,2831000
8,2728000
9,2745000
10,2986000
11,2831000
12,2976000
13,2539000
14,2811000
15,2733000
16,2739000
17,3223000
18,3979000
19,5162000
20,2773000
21,2277000
22,2133000
23,2034000
24,1988000
25,2007000
26,1946000
27,2314000
28,2039000
29,2109000
30,4093000
31,3634000
32,6243000
33,2428000
34,2248000
35,3009000
36,2858000
37,2659000
38,3539000
39,3841000
40,5672000
41,2690000
42,3653000
43,5150000
44,2400000
45,2660000
46,4139000
47,2828000
48,3958000
49,4467000
50,2231000
51,2169000
52,3794000
53,3140000
54,5015000
55,3785000
56,2190000
57,2739000
58,3612000
59,5774000
60,2338000
61,3424000
62,3255000
63,3577000
64,6197000
65,2291000
66,2637000
67,3688000
68,2119000
69,2126000
70,2190000
71,2079000
72,2022000
73,2018000
74,1982000
75,2017000
76,2048000
77,1937000
78,1900000
79,1752000
80,1841000
81,1777000
82,1889000
83,1664000
84,1984000
85,1795000
86,1864000
87,1729000
88,1677000
89,1753000
90,1937000
91,1685000
92,1744000
93,1654000
94,1808000
95,1726000
96,1666000
97,1707000
98,1661000
99,1714000
100,1717000
