epoch,RMSPropOptimizer
1,199855000
2,3578000
3,3611000
4,4589000
5,7309000
6,3715000
7,5093000
8,3541000
9,2862000
10,3137000
11,2822000
12,2348000
13,2102000
14,2164000
15,2090000
16,2303000
17,2173000
18,2100000
19,2197000
20,2132000
21,2097000
22,1999000
23,2073000
24,2128000
25,2027000
26,2047000
27,1951000
28,2074000
29,2142000
30,2044000
31,2045000
32,2131000
33,2215000
34,2320000
35,2239000
36,2124000
37,2058000
38,2132000
39,2123000
40,2065000
41,1995000
42,1928000
43,2052000
44,2067000
45,2062000
46,2083000
47,2180000
48,2191000
49,2080000
50,2293000
51,2159000
52,2163000
53,2256000
54,2155000
55,2184000
56,2136000
57,2144000
58,2150000
59,2187000
60,2080000
61,2131000
62,2226000
63,2169000
64,2182000
65,2273000
66,2122000
67,2175000
68,2135000
69,2115000
70,2182000
71,2165000
72,2057000
73,2028000
74,2164000
75,2070000
76,2120000
77,2121000
78,2060000
79,2092000
80,2244000
81,2223000
82,2077000
83,2120000
84,2108000
85,2110000
86,2054000
87,2064000
88,2077000
89,2112000
90,2134000
91,2075000
92,2067000
93,2130000
94,2144000
95,2128000
96,2065000
97,2171000
98,2077000
99,2081000
100,2132000
