epoch,GradientDescentOptimizer,MomentumOptimizer,RMSPropOptimizer
1,238613000,180645000,199855000
2,2857000,3460000,3578000
3,2109000,3579000,3611000
4,2239000,3327000,4589000
5,2188000,3572000,7309000
6,2172000,3130000,3715000
7,2224000,2831000,5093000
8,2901000,2728000,3541000
9,2833000,2745000,2862000
10,2593000,2986000,3137000
11,2465000,2831000,2822000
12,2402000,2976000,2348000
13,2584000,2539000,2102000
14,2399000,2811000,2164000
15,2451000,2733000,2090000
16,2468000,2739000,2303000
17,2283000,3223000,2173000
18,2164000,3979000,2100000
19,1916000,5162000,2197000
20,1896000,2773000,2132000
21,1996000,2277000,2097000
22,1946000,2133000,1999000
23,1928000,2034000,2073000
24,1978000,1988000,2128000
25,2094000,2007000,2027000
26,1945000,1946000,2047000
27,2007000,2314000,1951000
28,1950000,2039000,2074000
29,1810000,2109000,2142000
30,1930000,4093000,2044000
31,1894000,3634000,2045000
32,1936000,6243000,2131000
33,1888000,2428000,2215000
34,1884000,2248000,2320000
35,1995000,3009000,2239000
36,1886000,2858000,2124000
37,1843000,2659000,2058000
38,1877000,3539000,2132000
39,1856000,3841000,2123000
40,2163000,5672000,2065000
41,1884000,2690000,1995000
42,1825000,3653000,1928000
43,1980000,5150000,2052000
44,1967000,2400000,2067000
45,1940000,2660000,2062000
46,1959000,4139000,2083000
47,1926000,2828000,2180000
48,1883000,3958000,2191000
49,1895000,4467000,2080000
50,2183000,2231000,2293000
51,2051000,2169000,2159000
52,1919000,3794000,2163000
53,1958000,3140000,2256000
54,1894000,5015000,2155000
55,1888000,3785000,2184000
56,1940000,2190000,2136000
57,1958000,2739000,2144000
58,1897000,3612000,2150000
59,1949000,5774000,2187000
60,1845000,2338000,2080000
61,1828000,3424000,2131000
62,1789000,3255000,2226000
63,1658000,3577000,2169000
64,1781000,6197000,2182000
65,1673000,2291000,2273000
66,1700000,2637000,2122000
67,1730000,3688000,2175000
68,1787000,2119000,2135000
69,1746000,2126000,2115000
70,1777000,2190000,2182000
71,1638000,2079000,2165000
72,1693000,2022000,2057000
73,1666000,2018000,2028000
74,1565000,1982000,2164000
75,1768000,2017000,2070000
76,1782000,2048000,2120000
77,1730000,1937000,2121000
78,1617000,1900000,2060000
79,1760000,1752000,2092000
80,1810000,1841000,2244000
81,1678000,1777000,2223000
82,1634000,1889000,2077000
83,1688000,1664000,2120000
84,1662000,1984000,2108000
85,1671000,1795000,2110000
86,1678000,1864000,2054000
87,1615000,1729000,2064000
88,1759000,1677000,2077000
89,1713000,1753000,2112000
90,1721000,1937000,2134000
91,1895000,1685000,2075000
92,2280000,1744000,2067000
93,1870000,1654000,2130000
94,2086000,1808000,2144000
95,2021000,1726000,2128000
96,1933000,1666000,2065000
97,1913000,1707000,2171000
98,1863000,1661000,2077000
99,1989000,1714000,2081000
100,1782000,1717000,2132000
